year,place,title,author,categories,pageCount,averageRating,ratingsCount,publishedDate,description
2018,U.S.,Dog Man: Brawl of the Wild,Dav Pilkey,Juvenile Fiction,224.0,4.5,18.0,2018-12-24,"The heroic hound is send to jail in the sixth Dog Man book from worldwide bestselling author and artist Dav Pilkey. Is Dog Man bad to the bone? The canine cop is sent to the pound for a crime he didn't commit! While his pals work to prove his innocence, Dog Man struggles to find his place among dogs"
2019,U.S.,Dog Man: Fetch 22,Dav Pilkey,Juvenile Fiction,240.0,4.5,7.0,2019-12-10,"Howl with laughter with Dog Man, the internationally bestselling series from Dav Pilkey, the creator of Captain Underpants! Petey the Cat is out of jail, and he has a brand-new lease on life. While Petey's reevaluated what matters most, Li'l Petey is struggling to find the good in the world. Can Pet"
2019,U.S.,Dog Man: Fetch-22,Dav Pilkey,Juvenile Fiction,240.0,4.5,7.0,2019-12-10,"Howl with laughter with Dog Man, the internationally bestselling series from Dav Pilkey, the creator of Captain Underpants! Petey the Cat is out of jail, and he has a brand-new lease on life. While Petey's reevaluated what matters most, Li'l Petey is struggling to find the good in the world. Can Pet"
2019,U.S.,Dog Man: For Whom the Ball Rolls,Dav Pilkey,Juvenile Fiction,240.0,4.5,5.0,2019-08-13,"Petey learns what it means to do good in the seventh Dog Man book from worldwide bestselling author and artist Dav Pilkey. The Supa Buddies have been working hard to help Dog Man overcome his bad habits. But when his obsessions turn to fears, Dog Man finds himself the target of an all-new supervilla"
2020,U.S.,Dog Man: Grime and Punishment,Dav Pilkey,Juvenile Fiction,240.0,4.5,15.0,2020-09-01,"The mayor has had enough of Dog Man's shenanigans in the ninth book from worldwide bestselling author and artist Dav Pilkey. Dog Man's really done it this time! He hands over his badge and clears out his desk, but while he may be out of a job, he's not yet out of hope. With his friends at his side, "
2021,U.S.,Dog Man: Mothering Heights,Dav Pilkey,Juvenile Fiction,224.0,5.0,3.0,2021-03-23,"Dog Man and Petey face their biggest challenges yet in the tenth Dog Man book from worldwide bestselling author and illustrator Dav Pilkey. Dog Man is down on his luck, Petey confronts his not so purr-fect past, and Grampa is up to no good. The world is spinning out of control as new villains spill "
2025,U.S.,Dog Man: The Scarlet Shredder,Dav Pilkey,Juvenile Fiction,0.0,,,2025-02-13,"The twelfth bestselling, full-colour Dog Man book from Dav Pilkey- you'll howl with laughter!"
2023,U.S.,Dog Man: Twenty Thousand Fleas Under the Sea,Dav Pilkey,Juvenile Fiction,242.0,5.0,2.0,2023-03-28,"DOG MAN IS BACK! The highly anticipated new graphic novel in the #1 worldwide bestselling series starring everyone's favorite canine superhero by award-winning author and illustrator Dav Pilkey! Piggy has returned, and his newest plot is his most diabolical yet. WHAT other new villains are on the ho"
1976,U.S.,Dolores,Jacqueline Susann,Fiction,200.0,,,1976,"Story of Dolores Ryan, the beautiful and fashionable young widow of an assassinated American President."
1994,U.S.,Dolores Claiborne,Stephen King,,,,,1994-09,Dolores Claiborne))Nightmares & Dreamscapes))2
